215,5,-5,1111121111,1111111111,1111111111,1111111111,1111111111,0000000000,0000000000
205,6,-6,1112021111,1111000111,1111011111,1111011111,1111011111,0000000000,0000000000
195,7,-7,0000220000,0000110000,0011121100,1111111111,1111111111,0000000000,0000000000
185,8,-8,0111001110,0100001010,0100001010,0112002110,0001001010,0001001010,0111001110
175,9,-9,0111001110,0010000100,0020000200,0010000100,0010000100,0111000100,0000000000
165,10,-10,0111101111,0101101101,0111111101,0200202202,0100101111,0000000000,0000000000
155,11,-11,0111001110,0202002000,0100001110,0101000010,0111001110,0000000000,0000000000
145,12,-12,0011001100,0100220010,01000000010,0010000100,0001001000,0000110000,0000000000
135,13,-13,0010001110,0101000010,0101000100,0202002000,0010001110,0000000000,0000000000
100,14,-14,0111111111,0102202201,0111111111,0101100100,0101100100,0000000000,0000000000
